Place_Name,Category,City,Province,Description,,,,,,,,,,
Sigiriya Rock,Historical Landmark,Dambulla,Central Province,"Ancient rock fortress with frescoes and stunning views, a UNESCO World Heritage site.",,,,,,,,,,
Galle Fort,Historical Landmark,Galle,Southern Province,"A 17th-century fort built by the Portuguese, later fortified by the Dutch, showcasing colonial architecture.",,,,,,,,,,
Yala National Park,Wildlife Sanctuary,Tissamaharama,Southern Province,"Famous for leopard sightings, this park offers a rich diversity of flora and fauna.",,,,,,,,,,
Nuwara Eliya,Hill Station,Nuwara Eliya,Central Province,"Known as ""Little England,"" this town features tea plantations, a cool climate, and colonial-era bungalows.",,,,,,,,,,
Ella,Scenic Destination,Ella,Uva Province,"A picturesque town surrounded by mountains, tea plantations, and hiking trails.",,,,,,,,,,
Mirissa,Beach Destination,Mirissa,Southern Province,"A vibrant beach town known for whale watching, surfing, and its relaxed atmosphere.",,,,,,,,,,
Temple of the Tooth,Religious Site,Kandy,Central Province,"A sacred Buddhist temple in Kandy, said to house a tooth relic of Buddha.",,,,,,,,,,
Pinnawala Elephant Orphanage,Wildlife Sanctuary,Pinnawala,Sabaragamuwa,A sanctuary for orphaned elephants where visitors can watch feeding and bathing rituals.,,,,,,,,,,
Arugam Bay,Beach Destination,Pottuvil,Eastern Province,"A popular spot for surfing and beach parties, offering a lively coastal experience.",,,,,,,,,,
Horton Plains,National Park,Nuwara Eliya,Central Province,"Known for the World's End cliff and Baker's Falls, this park offers breathtaking views and hiking trails.",,,,,,,,,,
Dambulla Cave Temple,Religious Site,Dambulla,Central Province,A complex of cave temples featuring ancient murals and Buddha statues.,,,,,,,,,,
Unawatuna,Beach Destination,Unawatuna,Southern Province,A serene beach destination known for its coral reefs and palm-lined shores.,,,,,,,,,,
Jaffna Fort,Historical Landmark,Jaffna,Northern Province,A colonial-era fort built by the Portuguese and later expanded by the Dutch.,,,,,,,,,,
Adams Peak (Sri Pada),Religious/Hiking Site,Maskeliya,Sabaragamuwa,"A sacred mountain with a footprint impression, attracting pilgrims and hikers.",,,,,,,,,,
Polonnaruwa,Historical Landmark,Polonnaruwa,North Central Province,"An ancient city with well-preserved ruins of palaces, temples, and statues.",,,,,,,,,,
Trincomalee Beach,Beach Destination,Trincomalee,Eastern Province,"A stunning beach destination known for snorkeling, diving, and whale watching.",,,,,,,,,,
Anuradhapura,Historical Landmark,Anuradhapura,North Central Province,An ancient city with centuries-old stupas and sacred sites.,,,,,,,,,,
Bentota,Beach Destination,Bentota,Southern Province,"A resort town offering pristine beaches, water sports, and luxury accommodations.",,,,,,,,,,
Sinharaja Forest Reserve,National Park,Deniyaya,Southern Province,A UNESCO World Heritage rainforest rich in biodiversity and endemic species.,,,,,,,,,,
Udawalawe National Park,Wildlife Sanctuary,Udawalawe,Southern Province,Known for its large elephant population and open grassland landscapes.,,,,,,,,,,
Minneriya National Park,Wildlife Sanctuary,Minneriya,North Central Province,"Famous for the ""Gathering"" of elephants during the dry season.",,,,,,,,,,
Colombo,City,Colombo,Western Province,"The capital city of Sri Lanka, blending modernity with historical sites like the Galle Face Green.",,,,,,,,,,
Kandy Lake,Scenic Destination,Kandy,Central Province,"A serene man-made lake in the heart of Kandy, surrounded by greenery.",,,,,,,,,,
Kalpitiya,Beach Destination,Kalpitiya,North Western Province,"A coastal town famous for kite surfing, dolphins, and eco-tourism.",,,,,,,,,,
Nilaveli Beach,Beach Destination,Nilaveli,Eastern Province,A pristine beach known for snorkeling and tranquil beauty.,,,,,,,,,,
Hambantota,City,Hambantota,Southern Province,A coastal city with modern developments and proximity to wildlife parks.,,,,,,,,,,
Knuckles Mountain Range,Scenic Destination,Matale,Central Province,A range of mountains offering stunning hikes and biodiversity.,,,,,,,,,,
Hikkaduwa,Beach Destination,Hikkaduwa,Southern Province,"Popular for coral reefs, snorkeling, and nightlife.",,,,,,,,,,
Mahiyanganaya Temple,Religious Site,Mahiyanganaya,Uva Province,An ancient temple tied to Buddha’s first visit to Sri Lanka.,,,,,,,,,,
Ramboda Falls,Waterfall,Ramboda,Central Province,A scenic waterfall surrounded by tea plantations and greenery.,,,,,,,,,,
Kataragama,Religious Site,Kataragama,Uva Province,A multi-religious sacred city attracting pilgrims from various faiths.,,,,,,,,,,
Kitulgala,Adventure Destination,Kitulgala,Sabaragamuwa,A destination known for white-water rafting and lush rainforests.,,,,,,,,,,
Gal Oya National Park,Wildlife Sanctuary,Ampara,Eastern Province,A less-visited park offering boat safaris and serene landscapes.,,,,,,,,,,
Pigeon Island,National Park,Nilaveli,Eastern Province,A marine national park with vibrant coral reefs and clear waters.,,,,,,,,,,
Mannar Island,Scenic Destination,Mannar,Northern Province,"Known for its unique landscapes, birdlife, and historical sites.",,,,,,,,,,
Dehiwala Zoo,Wildlife Sanctuary,Dehiwala,Western Province,"One of Asia’s oldest zoos, showcasing diverse animal species.",,,,,,,,,,
Aluvihara Rock Temple,Religious Site,Matale,Central Province,An ancient rock temple where Buddhist scriptures were first written down.,,,,,,,,,,
Madulkelle,Hill Station,Kandy,Central Province,A tranquil retreat surrounded by tea estates and mountains.,,,,,,,,,,
Diyaluma Falls,Waterfall,Koslanda,Uva Province,"The second-highest waterfall in Sri Lanka, offering spectacular views.",,,,,,,,,,
Ruwanwelisaya,Religious Site,Anuradhapura,North Central Province,A stupa of great religious significance in Anuradhapura.,,,,,,,,,,
Pasikuda Beach,Beach Destination,Pasikuda,Eastern Province,A crescent-shaped beach known for calm waters and luxury resorts.,,,,,,,,,,
Madu River,Scenic Destination,Balapitiya,Southern Province,A river with scenic boat rides and biodiversity.,,,,,,,,,,
Gal Viharaya,Religious Site,Polonnaruwa,North Central Province,Famous for its large rock-cut Buddha statues.,,,,,,,,,,
Kelaniya Temple,Religious Site,Kelaniya,Western Province,A revered temple associated with Buddha’s second visit to Sri Lanka.,,,,,,,,,,
Weligama,Beach Destination,Weligama,Southern Province,A popular destination for surfing and its iconic stilt fishermen.,,,,,,,,,,
Kaudulla National Park,Wildlife Sanctuary,Polonnaruwa,North Central Province,A great spot for elephant safaris and birdwatching.,,,,,,,,,,
Demodara Nine Arches Bridge,Scenic Destination,Ella,Uva Province,A colonial-era railway bridge surrounded by lush greenery.,,,,,,,,,,
Maskeliya,Hill Station,Maskeliya,Central Province,"A town near Adam's Peak, known for its tea estates and reservoirs.",,,,,,,,,,
Tangalle,Beach Destination,Tangalle,Southern Province,A coastal town with secluded beaches and scenic views.,,,,,,,,,,
Batticaloa Lagoon,Scenic Destination,Batticaloa,Eastern Province,"A lagoon with serene surroundings, ideal for kayaking and birdwatching.",,,,,,,,,,
Kalutara Temple,Religious Site,Kalutara,Western Province,A large Buddhist stupa located on the Galle-Colombo main road.,,,,,,,,,,
Richmond Castle,Historical Landmark,Kalutara,Western Province,A colonial-era mansion with impressive architecture and a fascinating history.,,,,,,,,,,
Pedro Tea Estate,Scenic Destination,Nuwara Eliya,Central Province,A working tea estate offering factory tours and tea-tasting experiences.,,,,,,,,,,
Hummanaya Blowhole,Natural Attraction,Dickwella,Southern Province,"The only known blowhole in Sri Lanka, creating a spectacular water spray.",,,,,,,,,,
Independence Square,Historical Landmark,Colombo,Western Province,A monument in Colombo commemorating Sri Lanka’s independence from British rule.,,,,,,,,,,
Gregory Lake,Scenic Destination,Nuwara Eliya,Central Province,A picturesque lake in Nuwara Eliya offering boating and other recreational activities.,,,,,,,,,,
Whale Watching in Trincomalee,Adventure Activity,Trincomalee,Eastern Province,A unique opportunity to spot blue whales and dolphins in their natural habitat.,,,,,,,,,,
Dutch Reformed Church,Religious Site,Galle,Southern Province,"A historic church built by the Dutch in the 17th century, located in Galle.",,,,,,,,,,
Bambarakanda Falls,Waterfall,Kalupahana,Uva Province,"The tallest waterfall in Sri Lanka, surrounded by lush greenery.",,,,,,,,,,
Thalpe Beach,Beach Destination,Thalpe,Southern Province,A secluded beach known for its natural rock pools and serene ambiance.,,,,,,,,,,
Coconut Tree Hill,Scenic Destination,Mirissa,Southern Province,A famous viewpoint in Mirissa with a stunning cluster of coconut trees by the sea.,,,,,,,,,,
Vavuniya Archaeological Museum,Museum,Vavuniya,Northern Province,Showcasing artifacts and exhibits from the ancient Tamil culture and history.,,,,,,,,,,
Mannar Baobab Tree,Natural Attraction,Mannar,Northern Province,A centuries-old baobab tree believed to have been introduced by Arab traders.,,,,,,,,,,
Lotus Tower,Modern Attraction,Colombo,Western Province,"A striking landmark in Colombo, offering panoramic views of the city.",,,,,,,,,,
Diyawanna Oya Park,Scenic Destination,Colombo,Western Province,"A tranquil park with walking trails, canoeing, and birdwatching opportunities.",,,,,,,,,,
Jaffna Public Library,Cultural Landmark,Jaffna,Northern Province,A historic library with a rich collection of Tamil literature and architecture.,,,,,,,,,,
Kudawa Beach,Beach Destination,Kudawa,Western Province,A serene beach ideal for swimming and relaxing.,,,,,,,,,,
Ridigama Vihara,Religious Site,Ridigama,Central Province,A historic Buddhist temple associated with King Dutugemunu.,,,,,,,,,,
Colombo National Museum,Museum,Colombo,Western Province,"The largest museum in Sri Lanka, showcasing historical artifacts and art.",,,,,,,,,,
Jaffna Nallur Kandaswamy Temple,Religious Site,Jaffna,Northern Province,A revered Hindu temple with vibrant architecture and annual festivals.,,,,,,,,,,
Gal Oya Dam,Scenic Destination,Ampara,Eastern Province,A scenic reservoir with opportunities for boat safaris and wildlife viewing.,,,,,,,,,,
Ramba Viharaya,Religious Site,Hambantota,Southern Province,An ancient Buddhist monastery with historical ruins.,,,,,,,,,,
Parakrama Samudra,Reservoir,Polonnaruwa,North Central Province,A massive ancient irrigation tank built by King Parakramabahu.,,,,,,,,,,
Moon Plains,Scenic Destination,Nuwara Eliya,Central Province,A plateau offering panoramic views of surrounding mountains and valleys.,,,,,,,,,,
Dondra Head Lighthouse,Historical Landmark,Dondra,Southern Province,"The tallest lighthouse in Sri Lanka, located at the southernmost point of the island.",,,,,,,,,,
Hulannuge Village,Cultural Destination,Monaragala,Uva Province,A rural village showcasing traditional farming and cultural practices.,,,,,,,,,,
Kirinda Temple,Religious Site,Kirinda,Southern Province,A seaside Buddhist temple offering breathtaking views of the ocean.,,,,,,,,,,
Victoria Park,Scenic Destination,Nuwara Eliya,Central Province,A beautifully landscaped park in Nuwara Eliya with diverse flora and birdlife.,,,,,,,,,,
Ravana Falls,Waterfall,Ella,Uva Province,A stunning waterfall named after the mythical King Ravana of Lanka.,,,,,,,,,,
Udappuwa Lagoon,Scenic Destination,Udappuwa,North Western Province,A quiet lagoon with birdwatching and fishing opportunities.,,,,,,,,,,
Sinharaja Forest Reserve,Natural Attraction,Deniyaya,Sabaragamuwa,A biodiversity hotspot and UNESCO World Heritage site with rare flora and fauna.,,,,,,,,,,
Minneriya National Park,Wildlife Sanctuary,Minneriya,North Central Province,"Famous for the 'Elephant Gathering,' a seasonal congregation of elephants.",,,,,,,,,,
Adam's Peak,Religious Site,Maskeliya,Sabaragamuwa,"A sacred mountain with religious significance for Buddhists, Hindus, Christians, and Muslims.",,,,,,,,,,
Jungle Beach,Beach Destination,Unawatuna,Southern Province,A hidden gem known for its tranquil setting and clear waters.,,,,,,,,,,
Polonnaruwa,Historical Landmark,Polonnaruwa,North Central Province,An ancient city filled with archaeological wonders and ruins.,,,,,,,,,,
Ritigala Forest Monastery,Historical Landmark,Ritigala,North Central Province,A secluded archaeological site and ancient Buddhist monastery.,,,,,,,,,,
Pigeon Island National Park,Marine Park,Nilaveli,Eastern Province,A marine park featuring coral reefs and snorkeling opportunities.,,,,,,,,,,
Maduganga River Safari,Adventure Activity,Balapitiya,Southern Province,"A boat safari offering encounters with mangroves, wildlife, and river life.",,,,,,,,,,
Kelaniya Temple,Religious Site,Kelaniya,Western Province,A revered Buddhist temple believed to have been visited by Lord Buddha.,,,,,,,,,,
Haputale,Hill Station,Haputale,Uva Province,A serene hill station offering breathtaking views and tea estates.,,,,,,,,,,
Negombo Lagoon,Scenic Destination,Negombo,Western Province,A lagoon offering a blend of fishing culture and scenic beauty.,,,,,,,,,,
Dambulla Cave Temple,Religious Site,Dambulla,Central Province,A UNESCO World Heritage site featuring ancient Buddhist murals and statues.,,,,,,,,,,
Kaudulla National Park,Wildlife Sanctuary,Polonnaruwa,North Central Province,A wildlife reserve known for elephant safaris and birdwatching.,,,,,,,,,,
Seetha Amman Temple,Religious Site,Nuwara Eliya,Central Province,"A Hindu temple associated with the Ramayana legend, located in Nuwara Eliya.",,,,,,,,,,
Tangalle Beach,Beach Destination,Tangalle,Southern Province,A pristine beach perfect for relaxation and swimming.,,,,,,,,,,
Aukana Buddha Statue,Historical Landmark,Aukana,North Central Province,A well-preserved ancient statue of Buddha standing at 12 meters high.,,,,,,,,,,
Kanniya Hot Springs,Natural Attraction,Trincomalee,Eastern Province,A series of ancient hot wells with historical significance.,,,,,,,,,,
Unawatuna Beach,Beach Destination,Unawatuna,Southern Province,A famous beach known for its vibrant nightlife and clear waters.,,,,,,,,,,
Udawalawe National Park,Wildlife Sanctuary,Udawalawe,Sabaragamuwa,Known for its elephant population and stunning landscapes.,,,,,,,,,,
Gal Vihara,Historical Landmark,Polonnaruwa,North Central Province,A rock temple featuring magnificent Buddha statues carved into stone.,,,,,,,,,,
Mirijjawila Botanical Garden,Scenic Destination,Hambantota,Southern Province,A botanical garden featuring exotic plants and flowers.,,,,,,,,,,
Ambuluwawa Tower,Scenic Destination,Gampola,Central Province,A multi-religious center offering panoramic views and a unique tower climb.,,,,,,,,,,
Kumana National Park,Wildlife Sanctuary,Okanda,Eastern Province,A birdwatcherâ€™s paradise known for its diverse avian population.,,,,,,,,,,
Baththalangunduwa Island,Adventure Activity,Baththalangunduwa,North Western Province,A remote island offering an off-the-grid experience and fishing culture.,,,,,,,,,,
Dodanduwa Lagoon,Scenic Destination,Dodanduwa,Southern Province,A peaceful lagoon ideal for kayaking and exploring mangroves.,,,,,,,,,,
Thalangama Lake,Natural Attraction,Colombo,Western Province,A serene lake popular for birdwatching and scenic walks.,,,,,,,,,,
Hakgala Botanical Garden,Scenic Destination,Nuwara Eliya,Central Province,A botanical garden known for its temperate climate flora.,,,,,,,,,,
Manalkadu Sand Dunes,Natural Attraction,Manalkadu,Northern Province,A unique landscape of sand dunes blending with the ocean.,,,,,,,,,,
Wilpattu National Park,Wildlife Sanctuary,Wilpattu,North Western Province,"The largest national park in Sri Lanka, known for leopards and sloth bears.",,,,,,,,,,
Ramboda Falls,Waterfall,Ramboda,Central Province,A majestic waterfall located amidst lush greenery in the hill country.,,,,,,,,,,
